field,disposition,reason,evidence_sha256
cell_ordinal_depth,REQUIRED,identifies the unresolved leaf within the retained partition,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
exact_cell_bounds,REQUIRED,defines the only permitted refinement domain,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
candidate_formula_authority,REQUIRED,fixes mathematical semantics,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
q_dot_cross2_coefficients,REQUIRED,reconstructs constant-width functions without geometry,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
pair_coefficient_references,REQUIRED,identifies the exact tied mathematical functions,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
all_unique_competitor_references,REQUIRED,supports global maximality against every function,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
source_and_implementation_hashes,REQUIRED,binds provenance and derivation,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
schema_and_provenance_hash,REQUIRED,enforces canonical immutable evidence,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
rho_alpha_beta2,DERIVABLE,computed exactly from retained coefficients,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
branch_onset_state,DERIVABLE,computed from coefficients and cell bounds,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
value_difference_derivative_bounds,DERIVABLE,recomputed by the independent interval route,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
previous_enclosures,REDUNDANT,not needed to reproduce a stronger independent bound,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
parent_cell_contents,REDUNDANT,lineage hashes and exact leaf bounds suffice,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
production_owner_decisions,REDUNDANT,not independent mathematical authority,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
raw_identity_and_geometry,TOO_EMPIRICAL,derived coefficient authority is sufficient,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
provider_tracking_rows,TOO_EMPIRICAL,outside the bounded retained authority,700ddd042eaf2b618952295534036a3050b91744384657a62dd24f582193e8a0
